Rank#,Name,pLDDT (AF)
1,Asparaginase erwinia chrysanthemi ,97.4
2,Alglucerase,97.3
3,Velaglucerase alfa,97.3
4,Dornase alfa,97.2
5,Aprotinin,97
6,Rasburicase,96.4
7,Ocriplasmin,96.4
8,Taliglucerase alfa ,96.2
9,Pancrelipase amylase,96.1
10,Digoxin Immune Fab (Ovine),95.7
11,Palivizumab,95.5
12,Sacrosidase,95.4
13,Galsulfase,95.3
14,Laronidase,95.1
15,Infliximab,95
16,Palifermin,94.9
17,Idarucizumab ,94.9
18,Vestronidase Alfa,94.8
19,Bevacizumab,94.6
20,Avalglucosidase alfa,94.6
21,Ecallantide ,94.5
22,Ustekinumab,94.5
23,Ranibizumab,94.5
24,L-asparaginase,93.6
25,Glucarpidase,93.5
26,Ofatumumab,93.5
27,Interferon beta-1a ,93
28,Thyrotropin Alfa,92.9
29,Sebelipase alfa ,92.7
30,Belimumab,92.6
31,Cerliponase alfa,92.6
32,Idursulfase,92.6
33,Asfotase alfa,92.5
34,Brodalumab,92.4
35,Romosozumab,92.1
36,Satralizumab,92.1
37,Crizanlizumab,91.9
38,Panitumumab,91.9
39,Emicizumab,91.9
40,Pembrolizumab,91.9
41,Olipudase alfa,91.9
42,Tocilizumab,91.7
43,Fremanezumab,91.6
44,Eculizumab,91.6
45,Mepolizumab,91.6
46,Ixekizumab,91.6
47,Gemtuzumab ozogamicin,91.6
48,Alirocumab,91.6
49,Ipilimumab,91.5
50,Pertuzumab,91.5
51,Elotuzumab,91.5
52,Nivolumab,91.5
53,Adalimumab,91.5
54,Ramucirumab,91.4
55,Tildrakizumab,91.4
56,Reslizumab,91.4
57,Isatuximab,91.4
58,Burosumab,91.4
59,Aducanumab,91.4
60,Mogamulizumab ,91.4
61,Risankizumab,91.3
62,Ravulizumab,91.3
63,Obiltoxaximab,91.3
64,Bezlotoxumab,91.3
65,Eptinezumab,91.3
66,Odesivimab,91.3
67,Rituximab,91.3
68,Evinacumab,91.3
69,Ansuvimab,91.3
70,Cemiplimab,91.2
71,Canakinumab,91.2
72,Polatuzumab vedotin,91.2
73,Sacituzumab govitecan,91.1
74,Dostarlimab,91.1
75,Anifrolumab,91.1
76,Efgartigimod alfa,91.1
77,Hyaluronidase (Ovine),91.1
78,Margetuximab,91
79,Siltuximab,91
80,Trastuzumab,91
81,Ocrelizumab,91
82,Atezolizumab,91
83,Belantamab mafodotin,91
84,Obinutuzumab,91
85,Natalizumab,91
86,Mirvetuximab Soravtansine,91
87,Inebilizumab,91
88,Catridecacog,91
89,Maftivimab,90.9
90,Erenumab ,90.9
91,Cetuximab,90.9
92,Benralizumab,90.9
93,Daratumumab,90.9
94,Atoltivimab ,90.9
95,Loncastuximab tersirine,90.9
96,Becaplermin,90.9
97,Secukinumab,90.8
98,Muromonab,90.8
99,Tralokinumab,90.7
100,Sarilumab,90.7
101,Necitumumab,90.7
102,Tafasitamab,90.7
103,Teprotumumab,90.7
104,Golimumab,90.7
105,Galcaneuzumab,90.67
106,Naxitamab,90.6
107,Tezepelumab,90.5
108,Basiliximab,90.5
109,Denosumab,90.5
110,Vedolizumab,90.5
111,Dupilumab,90.5
112,Durvalumab,90.4
113,Urokinase,90.4
114,Olaratumab ,90.3
115,Guselkumab ,90.2
116,Dinutuximab,90.2
117,Alemtuzumab,90.2
118,Alpha-1-proteinase inhibitor,90.2
119,Filgrastim,90.2
120,Caplacizumab ,90.1
121,Evolocumab,90.1
122,Ibalizumab,90.1
123,Sargramostim,90.1
124,Emapalumab,89.9
125,Lanadelumab ,89.9
126,Chymopapain,89.7
127,Avelumab,89.6
128,Follitropin ,89.6
129,Aflibercept,89.1
130,Reteplase,89.1
131,luspatercept-aamt,89
132,Urofollitropin,89
133,Brolucizumab,88.9
134,Anakinra,88.4
135,Daclizumab,88.2
136,Ibritumomab tiuxetan ,88.2
137,Belatacept,87.8
138,Interferon beta-1b,87.7
139,Darbepoetin alfa,87.7
140,Erythropoietin,87.7
141,Omalizumab,87.6
142,Albiglutide,87.6
143,Aldesleukin,87.6
144,Drotrecogin alfa,87.5
145,Abatacept,87.4
146,Insulin degludec,87.4
147,Insulin detemir,87.4
148,Antithrombin Alfa,87.4
149,Interferon Alfacon 1,87.3
150,Eflapegrastim,87
151,Insulin Regular,87
152,Interferon alfa-2a,87
153,Tositumomab ,86.6
154,Insulin aspart,86.3
155,Rilonacept,86.2
156,Tenecteplase,86.2
157,Oprelvekin,86.2
158,Coagulation Factor VIIa,86.1
159,Alteplase,86
160,Insulin lispro,86
161,Interferon alfa-2b,86
162,Insulin glargine,85.6
163,Insulin glulisine,85.5
164,Blinatumomab,85.4
165,Interferon gamma-1b,84.5
166,Protein S human,83.7
167,Coagulation factor IX ,83.6
168,Dulaglutide,83.4
169,Choriogonadotropin alfa,83.4
170,Chorionic Gonadotropin (Human),83.4
171,Etanercept,82.1
172,Agalsidase Beta,81.6
173,Metreleptin,81.6
174,Somatotropin Recombinant,81.5
175,Menotropins,80.6
176,Conestat alfa,80.3
177,Human C1-esterase inhibitor,80.3
178,Romiplostim,79.3
179,Eftrenonacog Alfa,78.8
180,Lixisenatide ,78.2
181,Mecasermin,75.8
182,Lutropin alfa,75.3
183,Alefacept ,72.8
184,Denileukin diftitox,72.5
185,Parathyroid/Preotact,71
186,Tagraxofusp ,67.2
187,Lepirudin,55.1
188,Elosulfase Alfa,49.7
